Time,Actual,Predicted,Error
2019-01-21 14:30:00,184050822.4705056,137275132.1997017,46775690.2708039
2019-01-21 14:50:00,103444886.42451283,145487646.80878943,42042760.3842766
2019-01-21 15:20:00,163834894.35552377,110480062.50578642,53354831.849737346
2019-01-21 16:38:00,164554552.1761521,114334250.36519946,50220301.81095265
2019-01-21 18:22:00,98131277.93698992,141122822.5712372,42991544.63424729
2019-01-21 18:42:00,156071533.8909972,114242517.50237897,41829016.38861823
2019-01-21 18:52:00,84499149.86800084,135024109.90625194,50524960.0382511
2019-01-21 18:54:00,159672205.86340156,105067592.61096184,54604613.25243972
2019-01-21 19:42:00,175905021.753019,112650454.52750587,63254567.22551313
2019-01-21 20:28:00,187626758.6472357,133622982.08724973,54003776.559985965
2019-01-21 21:38:00,169812749.4862612,125330598.36386946,44482151.12239173
2019-01-21 22:30:00,164405941.3666801,120366232.77666377,44039708.59001632
2019-01-21 22:34:00,158013725.35748154,114449705.88437891,43564019.47310263
2019-01-21 22:48:00,210071605.32528663,137886771.4688179,72184833.85646874
2019-01-21 22:54:00,108154797.3114888,157346951.91734952,49192154.60586071
2019-01-22 00:18:00,141106909.11831933,94389392.65211111,46717516.46620822
2019-01-22 00:36:00,64278221.07692589,108342083.61457011,44063862.53764422
2019-01-22 06:20:00,99844332.28585096,35053421.49743056,64790910.788420394
